name,line1,line2,lat_deg,lon_deg,alt_m
ATLAS CENTAUR 2,1 00694U 63047A   26029.30989045  .00001945  00000+0  22810-3 0  9990,2 00694  30.3534  55.6959 0548192  93.2798 273.0636 14.11957085126057,22.651689555414183,-112.97576411718114,494148.62756169523
THOR AGENA D R/B,1 00733U 64002A   26030.00701401  .00000384  00000+0  15406-3 0  9992,2 00733  99.1227  41.2392 0033115  12.8637 347.3383 14.33994639232757,-22.877299224526382,-79.23595487311472,810205.524154352
SL-3 R/B,1 00877U 64053B   26030.16293851  .00000505  00000+0  12212-3 0  9996,2 00877  65.0765  84.1862 0077698 304.4828  54.8949 14.61326464261160,28.93133808263359,-48.594270351559395,741853.6953447924
SL-8 R/B,1 02802U 67045B   26030.09812548  .00000377  00000+0  11175-3 0  9996,2 02802  74.0098  60.1601 0062862  76.4205 284.3945 14.45586433 83441,65.0387076315207,-95.37469339902488,713734.9887722748
SL-8 R/B,1 03230U 68040B   26030.10636804  .00004629  00000+0  34495-3 0  9993,2 03230  74.0312  32.5113 0025777 227.0441 132.8586 15.02950662 84214,39.14563451266061,-98.70879584536085,562077.0430668467
OAO 2,1 03597U 68110A   26028.63194472  .00000489  00000+0  13686-3 0  9991,2 03597  34.9929 128.8691 0006007 240.4272 119.5820 14.47280842 13292,-14.206208504224577,22.623790482649163,733652.8274591434
ISIS 1,1 03669U 69009A   26029.86144298  .00000501  00000+0  34770-3 0  9998,2 03669  88.4548 159.5394 1707856 167.5088 197.4546 11.30393615344142,-48.13148122656013,-139.3377363769756,3120982.345934246
SERT 2,1 04327U 70009A   26030.10252745  .00000021  00000+0  84715-4 0  9990,2 04327  99.2709 335.3181 0004033 264.3982 106.1360 13.58725560774650,-17.446248883042703,41.49244128008557,1046447.0446040226
SL-3 R/B,1 05118U 71028B   26030.15873586  .00042075  00000+0  55261-3 0  9996,2 05118  81.2374  99.5134 0017852  69.0693 291.2467 15.58131031982669,-78.93521340224366,110.42981520121553,431473.60711043637
ASTEX 1,1 05560U 71089A   26029.85153924  .00000848  00000+0  21585-3 0  9990,2 05560  92.7156 139.1925 0014499 208.8584 151.1821 14.50719918856676,-38.38669882732667,-155.5604497264069,742379.5022226903
SL-8 R/B,1 05730U 71119B   26030.02514713  .00009981  00000+0  51845-3 0  9990,2 05730  73.8863 247.9327 0554990 222.4774 133.2165 14.36750929649934,68.89333995273806,81.89851443802577,946882.4873324264
OAO 3 (COPERNICUS),1 06153U 72065A   26030.04876478  .00000621  00000+0  13177-3 0  9990,2 06153  35.0046 157.4607 0006855 210.1668 316.7096 14.59961118840541,-10.188542925680052,52.78418431963748,689454.9811600056
ATLAS CENTAUR R/B,1 06155U 72065B   26028.55740968  .00002221  00000+0  30643-3 0  9994,2 06155  34.9997 180.9199 0033427  31.3200 328.9484 14.77561904835328,34.87482150996012,-45.4774454117814,618612.2543444684
SL-8 R/B,1 08459U 75112B   26030.17561390  .00000332  00000+0  11777-3 0  9998,2 08459  74.0602  89.7661 0015829 195.3193 164.7484 14.38183831626334,54.28441980826759,175.41437076739342,781391.4011458005
SL-3 R/B,1 10114U 77057B   26030.11573941  .00016407  00000+0  35694-3 0  9992,2 10114  97.5714 200.3860 0008451  65.9792 294.2339 15.44356305662379,39.00012040931382,89.8009231595999,437424.7523154015
SEASAT 1,1 10967U 78064A   26029.96676241  .00000548  00000+0  19168-3 0  9992,2 10967 108.0165  44.2330 0001365 289.3253  70.7745 14.46125619500913,65.48264127964207,63.007853609250596,749946.7217969375
SL-14 R/B,1 11267U 79011B   26030.01457813  .00001051  00000+0  10134-3 0  9993,2 11267  82.5262 133.2629 0015982 181.4300 178.6877 14.91855750523012,-75.75817332914269,46.67663878631539,617195.7622518975
SL-8 R/B,1 11574U 79089B   26030.11201632  .00000445  00000+0  14246-3 0  9990,2 11574  74.0693 162.4498 0016205 340.4055  19.6477 14.42324514430548,30.826467352363625,-125.5423852597605,747363.5980519619
SL-14 R/B,1 11672U 80005B   26030.13644222  .00001072  00000+0  10609-3 0  9993,2 11672  82.5168 343.7949 0014283 295.0551  64.9184 14.90873938470749,-37.666700100874905,40.60201412252307,600811.9341522984
SL-8 R/B,1 12139U 81003B   26029.90863166  .00030810  00000+0  81794-3 0  9999,2 12139  82.9390 325.8433 0265855 314.2602  43.7076 15.09433577308828,40.85502805023535,-157.88002046822535,726374.7336568559
SL-3 R/B,1 12465U 81046B   26030.09515399  .00016369  00000+0  39456-3 0  9993,2 12465  81.2341 336.0371 0020081 148.5339 211.7109 15.40894632432480,-68.99069620305235,-117.96577620844829,472451.78422802326
SL-3 R/B,1 12904U 81103B   26030.09314156  .00007625  00000+0  34278-3 0  9995,2 12904  81.1578 258.7013 0014145  56.9569 303.3019 15.20907675967361,-54.172270698033024,153.54594276867815,533849.2782166296
SL-3 R/B,1 13068U 82013B   26030.11791595  .00005974  00000+0  26209-3 0  9997,2 13068  81.1722 205.9597 0022020 311.6014  48.3329 15.21581031398488,76.77828962254374,47.358539866818354,527107.4407301616
SL-3 R/B,1 13154U 82039B   26030.08954583  .00003833  00000+0  23290-3 0  9994,2 13154  81.1641 260.4481 0030076  90.7616 269.7056 15.09864530375817,-59.0921665311165,157.88803834754987,577516.8145927365
SL-3 R/B,1 13403U 82079B   26030.07305722  .00007238  00000+0  29317-3 0  9998,2 13403  81.1441 238.6608 0024328 298.4390  61.4391 15.24248858371810,-10.725894946802784,-60.57698551496667,487817.5340964315
SL-14 R/B,1 13553U 82092B   26030.16456979  .00000862  00000+0  93996-4 0  9991,2 13553  82.5691 177.4219 0021762  70.5582 101.8962 14.86620104323205,-21.13374628985448,-122.8265621663524,616726.977257488
SL-3 R/B,1 13819U 83010B   26030.11203556  .00018611  00000+0  39149-3 0  9993,2 13819  81.1019  49.5002 0017135 175.8551 184.2838 15.45011455351984,17.842436508356172,-70.89760175604708,422412.821787402
SL-3 R/B,1 14208U 83075B   26030.10329527  .00015750  00000+0  42804-3 0  9996,2 14208  97.6120  33.2584 0022554  13.3523 346.8313 15.37392652324226,-20.65300729436985,-86.33181798070846,477006.8793094707
COSMOS 1536,1 14699U 84013A   26030.03564840  .00009254  00000+0  38762-3 0  9994,2 14699  82.5476 146.2466 0015435  61.5607 298.7183 15.23287879266739,-13.339592665505798,30.49462156700498,508935.03533307085
SL-14 R/B,1 14820U 84027B   26030.10829115  .00000699  00000+0  77129-4 0  9997,2 14820  82.5415 281.2034 0019507 100.2697 260.0720 14.85937480241901,71.35786830136392,141.0726076826832,609465.4098270006
SL-8 R/B,1 15483U 85006B   26030.10085096  .00000420  00000+0  14808-3 0  9999,2 15483  74.0477 332.1524 0019716 256.9730 113.6488 14.37761868148485,73.5320199761566,140.268434879834,791547.9938897077
SL-12 R/B(2),1 15772U 85042D   26030.16635759  .00000254  00000+0  13566-3 0  9998,2 15772  71.1079 169.1142 0035524 189.3399 343.3448 14.21970123108912,-69.35579097722092,116.01725627525117,836322.0822254713
SL-14 R/B,1 15945U 85069B   26030.10475838  .00000722  00000+0  78958-4 0  9990,2 15945  82.5241  61.2253 0017834 324.2948  35.7075 14.86386870167105,53.07395549206385,-66.20776212335561,629870.4608129953
SL-16 R/B,1 16182U 85097B   26029.95551187  .00000280  00000+0  16416-3 0  9997,2 16182  71.0005 222.0965 0009167 305.2914 206.5766 14.16592628 81742,-45.85652023609793,124.59550519380042,852394.4759509013
SL-14 R/B,1 16496U 86006B   26030.09191730  .00001164  00000+0  12092-3 0  9995,2 16496  82.5281 296.0632 0077715  41.5280 319.1804 14.86757304143479,-16.616482665985256,-179.15013180673424,664365.4019317504
COSMOS 1743,1 16719U 86034A   26029.31195874  .00050438  00000+0  73025-3 0  9991,2 16719  82.5350 115.0605 0005437  81.7018 278.4852 15.55664761174128,-26.568543900015232,173.0267602656224,410851.1051403225
SL-14 R/B,1 16792U 86046B   26029.33684712  .00000741  00000+0  82586-4 0  9996,2 16792  82.4830 117.3663 0023098   1.8783 358.2516 14.85550168120565,-82.49430524956885,84.14690313504013,639870.6439618272
SL-14 R/B,1 16882U 86055B   26029.88451919  .00000878  00000+0  98288-4 0  9994,2 16882  82.5226 163.1339 0020373  99.9397  25.3380 14.85598213113607,-12.591871269387994,-136.17584204214086,622199.0907993403
AJISAI (EGS),1 16908U 86061A   26030.09882028 -.00000073  00000+0  17244-3 0  9994,2 16908  50.0064 212.0147 0011258 187.7299 290.7709 12.44515380463198,-29.682410008053683,-114.61808823879058,1502071.3181819108
COSMOS 1812,1 17295U 87003A   26030.06265228  .00218269  15874-4  72875-3 0  9993,2 17295  82.4791 239.2079 0000758  21.9181 338.2124 15.90126175138294,37.92502554675828,115.79793782270777,307121.05654826306
